ID,Actual Name,Tooltip,XX,VVVV,Base Attack Abilities - Motivity,Base Attack Abilities - Technique,Base Attack Abilities - Advance
AC_def_L1_3,Black Cat’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Falling offers an equal death to all.\nHowever, with the cat’s luck, one is able to scoff at death.,
Reduces damage from falling,",0B,41435F6465665F4C315F33,,,
AC_def_L3_1,Iron Wall Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases Physical Damage Reduction Rate,
Sometimes, one must focus on defense instead of offense.\nNevertheless, one must pay the cost for sustaining an iron wall.,",0B,41435F6465665F4C335F31,,,
AC_mgmt_equip_L1_1,Strength Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Motivity +4,
Overwhelming strength is dominant in combat.\nThe memories of Victor, the man who stood at the pinnacle of all life, were worth imprinting on an amulet.,",12,41435F6D676D745F65717569705F4C315F31,,,
AC_mgmt_equip_L1_1_1,Strength Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Motivity +6,
Overwhelming strength is dominant in combat.\nThe memories of Victor, the man who stood at the pinnacle of all life, were worth imprinting on an amulet.,",14,41435F6D676D745F65717569705F4C315F315F31,,,
AC_mgmt_equip_L1_1_2,Strength Amulet +2,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Motivity +9,
Overwhelming strength is dominant in combat.\nThe memories of Victor, the man who stood at the pinnacle of all life, were worth imprinting on an amulet.,",14,41435F6D676D745F65717569705F4C315F315F32,,,
AC_mgmt_equip_L1_2,Technique Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Technique +4,
There are innumerable Stalker skills and techniques.\nYet, the puppet who equipped the amulet imprinted with every single combat method took them another leap forward.,",12,41435F6D676D745F65717569705F4C315F32,,,
AC_mgmt_equip_L1_2_1,Technique Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Technique +6,
There are innumerable Stalker skills and techniques.\nYet, the puppet who equipped the amulet imprinted with every single combat method took them another leap forward.,",14,41435F6D676D745F65717569705F4C315F325F31,,,
AC_mgmt_equip_L1_2_2,Technique Amulet +2,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Technique +9,
There are innumerable Stalker skills and techniques.\nYet, the puppet who equipped the amulet imprinted with every single combat method took them another leap forward.,",14,41435F6D676D745F65717569705F4C315F325F32,,,
AC_mgmt_equip_L1_3,Transformation Amulet,"Advance +4,
An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Change is the start of progress.\nPuppets are no exception as they must possess a variety of means at their disposal to respond to variables.,",12,41435F6D676D745F65717569705F4C315F33,,,
AC_mgmt_equip_L1_3_1,Transformation Amulet +1,"Advance +6,
An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Change is the start of progress.\nPuppets are no exception as they must possess a variety of means at their disposal to respond to variables.,",14,41435F6D676D745F65717569705F4C315F335F31,,,
AC_mgmt_equip_L1_3_2,Transformation Amulet +2,"Advance +9,
An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Change is the start of progress.\nPuppets are no exception as they must possess a variety of means at their disposal to respond to variables.,",14,41435F6D676D745F65717569705F4C315F335F32,,,
AC_mgmt_equip_L2_4,Red Fox’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
The Volfe family’s swordsmanship that is passed down through generations is famous for being sophisticated and refined.\nThe occasional blind spot that appears is a trick for an even deadlier attack, so one must be careful.,",12,41435F6D676D745F65717569705F4C325F34,,,
AC_mgmt_equip_L3_10,Triumvirate Amulet,"All Legion Arms’ ability tier +1,
An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
They were three bodies, but their mind was one.\nThe mind that sought revenge against the puppets by killing them the way their brother was killed.,",13,41435F6D676D745F65717569705F4C335F3130,,,
AC_mgmt_equip_L3_11,Arm of God Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Temporarily increases physical damage upon a successful attack,
The Alchemists that had found the Arm of God tried to gauge its potential power using puppets.\nThe Arm of God was certainly strong but required massive power to sustain.,",13,41435F6D676D745F65717569705F4C335F3131,,,
AC_mgmt_equip_L3_5,Carrier’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
The puppets walked and walked.\nThey saved their final step for the Barren Swamp, the puppets’ grave.,",12,41435F6D676D745F65717569705F4C335F35,,,
AC_mgmt_equip_L4_6,Carrier’s Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
The puppets walked and walked.\nThey saved their final step for the Barren Swamp, the puppets’ grave.,",12,41435F6D676D745F65717569705F4C345F36,,,
AC_mgmt_stat_L1_1,Life Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max HP,
The slightest blink is enough to make a puppet move.\nPuppets do not have life, but it is enough to move them.,",11,41435F6D676D745F737461745F4C315F31,,,
AC_mgmt_stat_L1_10,Blue Guardianship Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max amount of HP, Stamina and Legion,
The girl from the Monad family felt the puppet’s pain and it made her sad.\nShe made a special amulet to help the dying puppet recover.,",12,41435F6D676D745F737461745F4C315F3130,,,
AC_mgmt_stat_L1_10_1,Blue Guardianship Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max amount of HP, Stamina and Legion,
The girl from the Monad family felt the puppet’s pain and it made her sad.\nShe made a special amulet to help the dying puppet recover.,",14,41435F6D676D745F737461745F4C315F31305F31,,,
AC_mgmt_stat_L1_10_2,Blue Guardianship Amulet +2,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max amount of HP, Stamina and Legion,
The girl from the Monad family felt the puppet’s pain and it made her sad.\nShe made a special amulet to help the dying puppet recover.,",14,41435F6D676D745F737461745F4C315F31305F32,,,
AC_mgmt_stat_L1_11,Hunter’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases Ergo acquisition when killing enemies,
The value of Ergo gave rise to a new crime where puppets were used to steal other puppets’ Ergo.\nSadly, these thieves met their end by the hunter puppets that they themselves created.,",12,41435F6D676D745F737461745F4C315F3131,,,
AC_mgmt_stat_L1_11_1,Hunter’s Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases Ergo acquisition when killing enemies,
The value of Ergo gave rise to a new crime where puppets were used to steal other puppets’ Ergo.\nSadly, these thieves met their end by the hunter puppets that they themselves created.,",14,41435F6D676D745F737461745F4C315F31315F31,,,
AC_mgmt_stat_L1_3,Leaping Amulet,"A Workshop craftsman with an interest in running entered a puppet into a marathon.\nObviously, the puppet did not win any medals.,
An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max Stamina,",11,41435F6D676D745F737461745F4C315F33,,,
AC_mgmt_stat_L2_5,Veteran’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max Legion,
The last step at the crossroads of life and death.\nAmong those who understood this desperation, there was one who decided to manufacture it.,",11,41435F6D676D745F737461745F4C325F35,,,
AC_mgmt_stat_L2_6,Nameless One's Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Has a chance of none being consumed when using Pulse Cells,
There was a time when even puppets were treated as heroes in Krat.\nThis amulet is the vestige of a fireman puppet who was called a hero.,",11,41435F6D676D745F737461745F4C325F36,,,
AC_mgmt_stat_L2_7,Swordsmanship Master’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Reduces Weapon Durability consumption,
The swordsmanship master’s graceful movements largely reduced weapon wear and tear.\nHowever, there were extremely few puppets who could imitate him even when equipped with the amulet with the record of his movements.,",11,41435F6D676D745F737461745F4C325F37,,,
AC_mgmt_stat_L2_8,Recharged Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Restores HP continuously,
This amulet was able to repurify Pulse Cells and increase recovery and was considered an innovation even in the Workshop.\nThere were soon many derivatives of this amulet.,",11,41435F6D676D745F737461745F4C325F38,,,
AC_mgmt_stat_L2_8_1,Recharged Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Restores HP continuously,
This amulet was able to repurify Pulse Cells and increase recovery and was considered an innovation even in the Workshop.\nThere were soon many derivatives of this amulet.,",13,41435F6D676D745F737461745F4C325F385F31,,,
AC_mgmt_stat_L2_9,Patience Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases Stamina recovery speed,
Keeping their springs in order and maintaining composure are meaningful skills for puppets.\nEven puppet designers still don’t understand some of the principles behind how Ergo puppets operate.,",11,41435F6D676D745F737461745F4C325F39,,,
AC_mgmt_stat_L3_2,Life Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max HP,
The slightest blink is enough to make a puppet move.\nPuppets do not have life, but it is enough to move them.,",11,41435F6D676D745F737461745F4C335F32,,,
AC_mgmt_stat_L3_4,Leaping Amulet +1,"A Workshop craftsman with an interest in running entered a puppet into a marathon.\nObviously, the puppet did not win any medals.,
An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases max Stamina,",11,41435F6D676D745F737461745F4C335F34,,,
AC_resist_L2_1,Indomitable Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increase Resistance of Disruption / Shock / Break,
Their determination does not falter in the face of any difficulty.\nThey continue to resist and defy even in situations where moving proves impossible.,",0E,41435F7265736973745F4C325F31,,,
AC_resist_L2_1_1,Indomitable Amulet +1,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increase Resistance of Disruption / Shock / Break,
Their determination does not falter in the face of any difficulty.\nThey continue to resist and defy even in situations where moving proves impossible.,",10,41435F7265736973745F4C325F315F31,,,
AC_resist_L3_9,Conquering Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
The puppet heads to the place where fire, electricity, and acid flow.\nIt must not be withstood, but overcome and passed.,
Upon a successful Perfect Guard, temporarily increases damage inflicted by weapon attack,",0E,41435F7265736973745F4C335F39,,,
CH00_Boss_Ergo,Nameless Puppet's Ergo,"Ergo obtained from the Nameless Puppet. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +20,000,
The nameless puppet was the first puppet made by the old man that was mounted with a P-Organ.\nIts Ergo efficiency was not just unremarkable, it was destructive; thus the nameless puppet was not chosen for the boy’s body and sealed away.,",0E,434830305F426F73735F4572676F,,,
CH01_Boss_Ergo,Parade Leader's Ergo,"Although the entire audience disappeared in a pool of blood, the Parade Master was cheerful.\nAs long as there’s a king, the show must go on.,
Ergo obtained from the Parade Master. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +5,000,",0E,434830315F426F73735F4572676F,,,
CH02_Boss_Ergo,Broken Hero's Ergo,"Ergo obtained from the Scrapped Watchman. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +5,000,
The Watchman contorted and broke from the adults’ desires.\nHowever, he never forgot the children who considered him their friend.,",0E,434830325F426F73735F4572676F,,,
CH03_Boss_Ergo,King's Flame Ergo,"Ergo obtained from the King’s Flame, Fuoco. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +5,000,
To Fuoco, the ordinary puppet, protecting the factory’s fire was a sacred duty.\nAs soon as he learned of the King of Puppets, he bowed down to a new god.,",0E,434830335F426F73735F4572676F,,,
CH04_Boss_Ergo,Twisted Angel's Ergo,"Ergo obtained from the Fallen Archbishop Andreus. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Gold caused even the devout saint to crumble little by little.\nUnable to acknowledge how corrupt he had become, he escaped into a delusion that he had been chosen by the angel.,
Obtain Ergo +5,000,",0E,434830345F426F73735F4572676F,,,
CH06_Boss_Ergo,Burnt-White King's Ergo,"Ergo obtained from Romeo, King of Puppets. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +10,000,
When the boy opened his eyes, he found himself sitting on a throne that he had not asked for.\nWhen he sought his friend of the past, he clung to his memories even though he knew there was no going back.,",0E,434830365F426F73735F4572676F,,,
CH07_Boss_Ergo,Reborn Champion's Ergo,"Ergo obtained from Champion Victor. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +10,000,
Victor had once been praised for standing at the pinnacle of all living beings.\nWhen he recovered his dwindled strength, he swore absolute fealty to the Alchemists.,",0E,434830375F426F73735F4572676F,,,
CH08_Boss_Ergo,Puppet-Devouring Green Hunter's Ergo,"Ergo obtained from the Green Monster of the Swamp. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
No one knows where the Green Monster of the Swamp came from.\nSome think he was produced from Krat’s wrath.,
Obtain Ergo +10,000,",0E,434830385F426F73735F4572676F,,,
CH09_Boss_Ergo,Brother Avenger's Ergo,"Ergo obtained as booty after defeating the Black Rabbit Brotherhood in the Relic of Trismegistus. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +10,000,
These were their funds to escape the city.\nNow that he had lost his brother who was supposed to go with him, all that money had lost its value.,",0E,434830395F426F73735F4572676F,,,
CH11_Boss_Ergo,Sad Clown's Ergo,"Ergo obtained from the Corrupted Parade Master. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +10,000,
When the parade carriage broke, he thought that was the end of it.\nThe moment the Carcass dug into its body, the awoken Parade Master started the pain parade back up.,",0E,434831315F426F73735F4572676F,,,
CH12_Boss_Ergo,Sad Zealot's Ergo,"Ergo obtained from Laxasia the Complete. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +15,000,
The Alchemist Adriana was baptized by the elixir and she became the first whole being.\nEverything about her was perfect except the fact that her feelings for one person could not be erased.,",0E,434831325F426F73735F4572676F,,,
CH13_Boss_Ergo,Fallen One's Ergo,"Ergo obtained from Simon Manus, Awakened God. It is packed with immense power.\nA treasure hunter may want this rare Ergo.,
Obtain Ergo +15,000,
The boy was among those who were made to live an immortal life.\nHowever, he was deemed a failure and abandoned, and then he set out on a journey to become a god to prove himself.,",0E,434831335F426F73735F4572676F,,,
Consume_Area_acid,Acid Canister,"An acid canister that can be thrown at close range.\nCreates a pool of acid where it lands.,
The Krat Disaster drastically increased the Workshop’s battle experience.\nThey produced a steady flow of combat inventions, and some of these disappeared into the hands of black marketeers.,",11,436F6E73756D655F417265615F61636964,,,
Consume_Area_Elec,Electric Blitz Canister,"The Krat Disaster drastically increased the Workshop’s battle experience.\nThey produced a steady flow of combat inventions, and some of these disappeared into the hands of black marketeers.,",11,436F6E73756D655F417265615F456C6563,,,
Consume_Area_Fire,Fire Canister,"A fire canister that can be thrown at close range.\nCreates a pool of fire where it lands.,
The Krat Disaster drastically increased the Workshop’s battle experience.\nThey produced a steady flow of combat inventions, and some of these disappeared into the hands of black marketeers.,",11,436F6E73756D655F417265615F46697265,,,
Consume_Buff_Elemental,Attribute Resistance Ampoule,"A robust defensive position is sometimes better than attacking.\nThe resistance ampoule was developed to raise puppets’ tolerance to abnormal statuses.,
A special ampoule made to enhance a puppet’s attribute resistances.\nWhen used, it enhances resistance to Overheat, Electric Shock, Decay, and Corruption.,
Temporarily increases attribute resistance,",16,436F6E73756D655F427566665F456C656D656E74616C,,,
Consume_Buff_Frenzy,Fable Catalyst,"A catalyst made to supplement puppet abilities.\nRapidly charges Fable.,
Fable Charge,
The catalyst made puppets more efficient by circulating Ergo energy within their bodies.\nThis groundbreaking invention was based on one Alchemist’s idea.,",13,436F6E73756D655F427566665F4672656E7A79,,,
Consume_Buff_sharpness_Acid,Acid Abrasive,"A special abrasive coated with an acid solution.\nTemporarily imbues a weapon with Acid.,
Temporarily imbues weapon with Acid,
Wise Stalkers are prepared to face any manner of variable that comes up in battle.\nAbrasives are another weapon that can turn the tide on the constantly shifting battlefield.,",1B,436F6E73756D655F427566665F73686172706E6573735F41636964,,,
Consume_Buff_sharpness_Elec,Electric Blitz Abrasive,"A special abrasive made by mixing electric blitz metal powders.\nTemporarily imbues a weapon with Electric Blitz.,
Temporarily imbues weapon with Electric Blitz,
Wise Stalkers are prepared to face any manner of variable that comes up in battle.\nAbrasives are another weapon that can turn the tide on the constantly shifting battlefield.,",1B,436F6E73756D655F427566665F73686172706E6573735F456C6563,,,
Consume_Buff_sharpness_Fire,Fire Abrasive,"A special abrasive made by mixing fire metal powders.\nTemporarily imbues a weapon with Fire.,
Temporarily imbues weapon with Fire,
Wise Stalkers are prepared to face any manner of variable that comes up in battle.\nAbrasives are another weapon that can turn the tide on the constantly shifting battlefield.,",1B,436F6E73756D655F427566665F73686172706E6573735F46697265,,,
Consume_Buff_sharpness_recovery,Grinder,"Repairs Weapon Durability,
To those in battle, the Grinder is their lifeline.\nThe sharpness of their blade can mean life or death.,
Weapon Durability decreases each time you attack enemies with a weapon.\nUse a Grinder to repair your weapons.\nWhen durability falls to 0, ATK decreases and the weapon cannot be repaired with a grinder. Thus, it is advised to keep an eye on the durability gauge.,",1F,436F6E73756D655F427566665F73686172706E6573735F7265636F76657279,,,
Consume_Buff_sharpness_regain,Venigni's Urgent Repair Tool,"An emergency repair tool made by Venigni.\nImmediately restores Weapon Durability.,
An emergency repair tool that Venigni made to support Stalkers.\nRegrettably, its manufacturing facility was destroyed during the puppets’ occupation, so it has become a rare item.,
Instantly repairs Weapon Durability,",1D,436F6E73756D655F427566665F73686172706E6573735F72656761696E,,,
Consume_Buff_SlaveMagazine,Legion Magazine,"A polymer filling that activates a Legion Arm’s specific ability.\nIt can be implanted in a Legion Arm to charge Legion rapidly.,
Legion Charge,
The polymer bullets that are used in Legion Arms were developed in collaboration with Venigni Works.\nThese bullets undergo a chemical reaction inside the Legion Arm and turn into different substances like fire, electricity, or acid.,",1A,436F6E73756D655F427566665F536C6176654D6167617A696E65,,,
Consume_Buff_Special,Special Resistance Ampoule,"A robust defensive position is sometimes better than attacking.\nThe resistance ampoule was developed to raise puppets’ tolerance to abnormal statuses.,
A special ampoule made to enhance a puppet’s special resistances.\nWhen used, it enhances resistance to Shock, Break, and Disruption.,
Temporarily increases special resistance,",14,436F6E73756D655F427566665F5370656369616C,,,
Consume_Buff_stamina_regain,Recirculating Catalyst,"A catalyst that circulates a puppet’s power efficiently.\nWhen used, Stamina recovery increases.,
Temporarily increases Stamina recovery,
The catalyst made puppets more efficient by circulating Ergo energy within their bodies.\nThis groundbreaking invention was based on one Alchemist’s idea.,",1B,436F6E73756D655F427566665F7374616D696E615F72656761696E,,,
Consume_Cancel_Elemental,Attribute Purification Ampoule,"A special ampoule that purifies a puppet’s attribute status ailments.\nWhen used, it removes Overheat, Electric Shock, Decay, and Corruption.,
Remove attribute status ailments,
Some status ailments are difficult to withstand even with internal parts.\nThe purification ampoule was developed to remove a puppet’s status ailments instantly.,",18,436F6E73756D655F43616E63656C5F456C656D656E74616C,,,
Consume_Cancel_Special,Special Purification Ampoule,"A special ampoule that purifies a puppet’s special status ailments.\nWhen used, it removes Shock, Break, and Disruption.,
Removes special status ailments,
Some status ailments are difficult to withstand even with internal parts.\nThe purification ampoule was developed to remove a puppet’s status ailments instantly.,",16,436F6E73756D655F43616E63656C5F5370656369616C,,,
Consume_cat_dust,Cat Dust,"A special dust that reduces your presence, like a cat.\nIt was said that Stalkers enjoyed using it when spying on opponents.,
A special dust that reduces your presence.\nWhen approaching from behind, it allows you to elude detection temporarily, but you can still be discovered by enemies with sharp senses or upon being caught in sight.,
Temporarily reduces presence,",10,436F6E73756D655F6361745F64757374,,,
Consume_Drop_Ergo_save,Gemini's Iron Protection,"Food for the cricket puppet that receives help from Gemini.\nWhen used, Death Ergo will temporarily be maintained in case of death.,
Temporarily protects current Ergo even in death,
The Gemini model was designed so it could be fed Ergo to build affinity.\nHowever, no one could have imagined that this model had another ability that was even more special.\n“It's okay, pal. Gemini's looking out for you!”,",16,436F6E73756D655F44726F705F4572676F5F73617665,,,
Consume_giveup,Last Resort,"A special device that releases all of the P-Organ’s energy at once.\nDies upon use.,
Immediate character death upon use,
The old man feared the possibility of his son failing to awaken properly and going into a frenzy.\nThis initialization device was made as a necessary evil for delicate readjustments.,",0E,436F6E73756D655F676976657570,,,
Consume_Instrument_01,Faded Whistle,"A faded police whistle.\nIt’s been worn smooth from use.,
The children blew the whistle for their friends.\nHe may have been discarded as a failure, but in those moments at least, he was the children’s police officer.,",15,436F6E73756D655F496E737472756D656E745F3031,,,
Consume_Monard_bless,Cube,"The people of ancient Krat knew how to bottle a wish upon a star.\nThe Wishstone could be put in a Cube made from a meteorite to display special powers.,
You can equip a Wishstone to a Cube through Giangio or a Stargazer.\nThere are different types of Wishstones that have different effects.\nUsing a Cube uses up a Wishstone, but it recharges in storage when you revive or visit a Stargazer.,",14,436F6E73756D655F4D6F6E6172645F626C657373,,,
Consume_Monard_Lamp,Monad's Lamp,"A small lamp with a cricket guide puppet inside.\nIt illuminates the darkness with a faint light.,
Do not be afraid even if you get lost in the fog.\nThe cricket guide will be with you.,
Increases brightness upon use,",13,436F6E73756D655F4D6F6E6172645F4C616D70,,,
Consume_ProtectDropErgo_1,Dim Ergo Fragment,"A fragment of Ergo, a mysterious power stone that can be found in Krat.\nGeppetto’s puppet can absorb Ergo and turn it into power.,
Ergo is both a power source and a currency in Krat.\nEven small pieces can be put to good use in the city.,
Obtain Ergo +100,",19,436F6E73756D655F50726F7465637444726F704572676F5F31,,,
Consume_ProtectDropErgo_1L,Dim Ergo Crystal,"A fragment of Ergo, a mysterious power stone that can be found in Krat.\nGeppetto’s puppet can absorb Ergo and turn it into power.,
Ergo is both a power source and a currency in Krat.\nErgo crystals are considered a precious material and good food for those who run on Ergo.,
Obtain Ergo +5,000,",1A,436F6E73756D655F50726F7465637444726F704572676F5F314C,,,
Consume_ProtectDropErgo_1M,Dim Ergo Chunk,"A fragment of Ergo, a mysterious power stone that can be found in Krat.\nGeppetto’s puppet can absorb Ergo and turn it into power.,
Ergo is both a power source and a currency in Krat.\nA chunk of Ergo is considered as valuable as a bar of gold.,
Obtain Ergo +1,000,",1A,436F6E73756D655F50726F7465637444726F704572676F5F314D,,,
Consume_ProtectDropErgo_1MP,Vivid Ergo Chunk,"A fragment of Ergo, a mysterious power stone that can be found in Krat.\nGeppetto’s puppet can absorb Ergo and turn it into power.,
Ergo is both a power source and a currency in Krat.\nA chunk of Ergo is considered as valuable as a bar of gold.,
Obtain Ergo +1,500,",1B,436F6E73756D655F50726F7465637444726F704572676F5F314D50,,,
Consume_ProtectDropErgo_2,Vivid Ergo Fragment,"A fragment of Ergo, a mysterious power stone that can be found in Krat.\nGeppetto’s puppet can absorb Ergo and turn it into power.,
Ergo is both a power source and a currency in Krat.\nEven small pieces can be put to good use in the city.,
Obtain Ergo +300,",19,436F6E73756D655F50726F7465637444726F704572676F5F32,,,
